Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,"From S 19th S, North on S Sheridan Ave. Home on Left.",No,No,"Microwave(s), Refrigerator(s), Stove(s)/Range(s)",Unfinished,4,,No,Yes,,0,,,0 sqft,,No,"$399,950 ",,,,1,,2,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Charming Craftsman-style home in a prime central Tacoma location, just minutes from DT! This beautifully updated home blends old-world charm w/ modern conveniences. The light-filled main floor feature","Charming Craftsman-style home in a prime central Tacoma location, just minutes from DT! This beautifully updated home blends old-world charm w/ modern conveniences. The light-filled main floor features vinyl flooring, 2 spacious BRs, a full bath, & a gourmet kitchen w/ updated SS appliances. Upstairs, enjoy vaulted ceilings in 2 sunny BRs. Recent updates include a NEW ROOF, exterior & interior paint, flooring, appliances, plus updated electrical, plumbing, & hot water tank. The large unfinished basement w/ a garage offers endless potential to make the space your own. Potential ADU or garage addition w/ alley access. Enjoy the backyard w/ access for RV parking, plus conveniently located near Highway 16 & I-5, shops, dining, parks, & JBLM!",,,,"Metal/Vinyl, Wood Products",,,0,No,1,Residential,Fenced-Partially,,,"Walk-In Pantry, Wall to Wall Carpet",,Sewer Connected,,1,,Forced Air,"1714 S Sheridan Avenue
Tacoma, WA 98405",,,,,,1,"1,054 SQFT",,Buyer To Verify,"$3,703 ",Click here,,,"$399,950 ","1,860 sqft",Central Tacoma,1927,Y,28 - Central Tacoma,,0,0,,,,0,Square Feet,2025-03-13T11:02:22.235Z,,,1,"4,875 sqft",,,1 Baths,Electric,0,0 sqft,Closing,,,Buyer To Verify,Yes,,,,,Composition,,"Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,1,,,Sold,,0.11 Acres,Buyer To Verify,,,,,0,,Public,No,No,"Level, Sloped",0,0,,,Tacoma Public Utilities,House,,,,,,"Vinyl Plank, Carpet",Tacoma,,No,,"Attached Garage, Off Street",Main,,,,,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2318642-1714-S-Sheridan-Avenue-Tacoma-WA-98405/,0.1119,0,,$0 ,2,,"SOLD: FEB 10, 2025",,,,0,,,1,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2447787,-122.45481
,From Canyon Rd E head West on 144th St. Then North on 50th Ave E. Home on right.,No,No,"Dishwashers, Dryers, Microwaves, Refrigerators, SeeRemarks, StovesRanges, Washers",,3,,No,Yes,,0,,,0 sqft,50th Ave E,No,"$400,000 ",,,,1.75,,0,21 - Manuf-Double Wide,,,Yes,Closed,0,,,,One of the best locations in Pierce County. The Rural Separator. Congratulations on finding this superb 3 bedroom home situated on this level half acre fully fenced lot. Home delivers 1769sqft of com,"One of the best locations in Pierce County. The Rural Separator. Congratulations on finding this superb 3 bedroom home situated on this level half acre fully fenced lot. Home delivers 1769sqft of comfortable living space that includes a spacious primary suite with sizable bathroom, beautiful gourmet kitchen with acres of elegant countertops & tons of cabinet space. Find exposed beams throughout the dining and living areas, vaulted ceilings that enhance the feel & desirability of this wonderful once in a lifetime find, and an overall feel to die for. The half acre of paradise feature mature landscaping, a detached shop/garage, garden spaces, & RV Parking for any size toys/boats/RV's. Come see today before it is too late.",,Utility Room,,"Wood, Wood Products",,,1,No,2,,"Cable TV, Deck, Fenced-Fully, High Speed Internet, Patio, RV Parking",,,"Laminate, Wall to Wall Carpet, Ceiling Fan(s), Dining Room",,Septic Tank,,1,,Forced Air,"13801 50th Ave E
Tacoma, WA 98446",,,,PartiallyFenced,,2,"1,769 SQFT",,,"$2,347 ",,,,"$400,000 ","1,769 sqft",Summit,1980,Y,67 - Parkland,,0,0,,No,,0,Square Feet,2024-05-06T17:40:09.389Z,,,1,"22,246 sqft",,,2 Baths,Electric,0,0 sqft,"Closing, Negotiable",One,Manufactured On Land,,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s), Washer(s)",,,Double Wide,,,,0,,2,,Garden Space,Sold,,0.51 Acres,,,,,,0,,Public,No,No,Level,1,0,,,Tacoma Water,Manufactured House,,,,,,"Laminate, Carpet",Franklin Pierce,,No,,"RV Parking, Detached Garage, Off Street",Main,,,,West,0,2023,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2215642-13801-50th-Ave-E-Tacoma-WA-98446/,0.5107,,,,3,,"SOLD: MAY 03, 2024",,,Very Good,0,,Northwest Contemporary,2,,0,Tie Down,No,0,3 Beds,"Cash Out, Conventional",No,Pierce,Paved,,,47.130755,-122.3623657
,GPS perfect,No,No,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",Partially Finished,,,No,Yes,,0,Dining Room,,0 sqft,,No,"$800,000 ",,,,1.5,,4,18 - 2 Stories w/Bsmnt,,,Yes,Closed,0,,,,"You've been waiting for a true North Tacoma Craftsman (close to Proctor district)and here it is. This classic home features beautiful original hardwoods, unique coffered beam ceilings, a grand brick fi","You've been waiting for a true North Tacoma Craftsman (close to Proctor district)—and here it is. This classic home features beautiful original hardwoods, unique coffered beam ceilings, a grand brick fireplace with detailed craftsmanship, radiant heat, and large windows that fill the space with natural light. The spacious kitchen offers ample storage and room to personalize. The partially finished basement includes a generous family room or theater space, plus a workshop area. Oversized rooms throughout, a fully fenced backyard, and a 1-car carport complete the package. Home is being sold as-is—don’t miss this opportunity to own a piece of Tacoma history.",,,,,,,0,,1,Single Family Residence,"Cable TV, Fenced-Partially, Gas Available, High Speed Internet",,,,,Sewer Connected,,1,,Radiant,"3319 N 27th Street
Tacoma, WA 98407",,,,Partially Fenced,,1,"2,488 SQFT",,Buyer To Verify,"$7,372 ",Click here,,,"$800,000 ","3,084 sqft",North Tacoma,1912,Y,18 - North Tacoma,,0,0,,,,0,Square Feet,2025-09-28T11:04:43.743Z,,,0,"5,040 sqft",,,1 / 1 Full / Half Baths,"Electric, Natural Gas",0,,Closing,Two,,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,1,,2,,Garden Space,Sold,,0.12 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,1,,,,House,,,,Wood Burning,,"Hardwood, Laminate, Vinyl",Tacoma,,No,,Detached Garage,,,"Wood, Wood Products",,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2417673-3319-N-27th-Street-Tacoma-WA-98407/,0.1157,0,,$0 ,0,,"SOLD: AUG 28, 2025",,,Very Good,0,,,1,,1,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.2722436,-122.4805178
,"I-5 exit 142 to West on Campus Dr, continue to go West (becomes Northshore Parkway, Right on 2 nd Ridge Dr, Right on Davis Ct.  Rambler is on the left",Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, Fireplace (Primary Bedroom), French Doors, High Tech Cabling, Skylight(s), Sprinkler System, Vaulted Ceiling(s), Walk-In Close",,0 sqft,,Yes,"$1,200,000 ",,,,2.25,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Exquisite rambler with a breathtaking Puget Sound, mountain range & city view + $100K in refined upgrades including A/C! Home has vaulted ceilings, skylights & upgraded lighting throughout~Kitchen with","Exquisite rambler with a breathtaking Puget Sound, mountain range & city view + $100K in refined upgrades including A/C! Home has vaulted ceilings, skylights & upgraded lighting throughout~Kitchen with eating space is open to the LR & has elegant granite counters & a walk-in pantry~The living room has an expansive Sound view, floor to ceiling stone faced fireplace & opens to the patio~The dining room offers ample space for entertaining with effortless charm~The large office with French doors is full of light~The primary has a view, fireplace, small flex room & luxurious stand alone tub~The well manicured yard is fenced & has a sprinkler system~Top this off with a 3-car garage with an Epoxy-coated floor & NO HOA! A true retreat inside & out!",,Garage,,,,,1,,3,Single Family Residence,"Cable TV, Fenced-Fully, Gas Available, High Speed Internet, Patio, Sprinkler System",,,,,Sewer Connected,,1,,Forced Air,"2127 Davis Court NE
Tacoma, WA 98422",,,,Fully Fenced,,3,"2,587 SQFT",,Meeker,"$11,764 ",Click here,,,"$1,200,000 ","2,587 sqft",Browns Point,1998,Y,94 - Browns Point,,0,0,,,,0,Square Feet,2025-08-08T11:03:40.530Z,,,1,"10,853 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,See Remarks,One,,Browns Point,Yes,,,,,Tile,,"Dishwasher(s), Disposal, Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"City, Mountain(s), Sound, Territorial",,1,Gas,3,,Garden Space,Sold,,0.25 Acres,Stadium,,,,Anderson Tedrick Custom Homes Co.,0,Central A/C,Public,No,No,"Level, Partial Slope",1,1,,,Tacoma Public Utility,House,,,,Gas,,"Ceramic Tile, Hardwood, Vinyl, Carpet",Tacoma,,No,,"Driveway, Attached Garage",Main,,"Cement Planked, Stucco",,South,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2376696-2127-Davis-Court-Ne-Tacoma-WA-98422/,0.2492,2,2,$0 ,3,,"SOLD: JUL 08, 2025",,,Very Good,0,,Northwest Contemporary,3,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Cul-De-Sac, Curbs, Dead End Street, Paved, Sidewalk",,,47.3072961,-122.4182606
,* North on Proctor to North 31st Street * Left on North 31st Street * Right on Madison Street * Home on Right *,No,No,"Refrigerator, StoveRange, LeasedEquipment",,3,,No,,,0,,,0 sqft,Madison,Yes,"$475,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"* Wanna live in the Proctor District?  Easy stroll to restaurants, shops, Met Market, and close to Ruston Waterfront, too! Charming home w/approximately 1125 SQ. FT. ~ Three Bedroom & One Bath.  Recent h","* Wanna live in the Proctor District? Easy stroll to restaurants, shops, Met Market, and close to Ruston Waterfront, too! Charming home w/approximately 1125 SQ. FT. ~ Three Bedroom & One Bath. Recent home enhancements in the last two years: Installed Carpet & Laminated Vinyl Tiling in Kitchen & Bath * Kitchen Counter & Stainless-Steel Sink * Upgraded Several Baseboard Heaters & Thermostats * Renewed Bath Vanity, Mirror, Sink & Toilet * Larger Bedroom w/Slider to New Deck * New Attic Access Steps * Home w/Vinyl Windows * Low Maintenance Yard * Limited Traffic Flow * New Privacy Fence * Attached Storage w/Approximately 50 SQ. FT. * Darling Home At A Very Affordable Price ~ Oh, did we mention … In the Proctor District! *",,Crawlspace,,Metal/Vinyl,,,0,No,0,,"Cable TV, Deck, Fenced-Partially",Street,,"Wall to Wall Carpet, Laminate Tile, Double Pane/Storm Window, Water Heater",,Sewer Connected,TAC,1,,"Baseboard, Wall Unit(s)","3111 N Madison Street
Tacoma, WA 98407",,,,,,0,"1,125 SQFT",,Buyer To Verify,"$4,471 ",Click here,Park & Boulevard,,"$475,000 ","1,175 sqft",Proctor,1958,Y,16 - North Tacoma,,0,0,,No,Park,0,Square Feet,2024-04-02T21:39:13.098Z,,,1,"3,800 sqft",,,1 Baths,Electric,0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Refrigerator, Stove/Range",,,,,Territorial,,0,Electric,1,,Garden Space,Sold,,0.09 Acres,Buyer To Verify,,,,,0,Window Unit A/C,Public,No,No,Level,0,0,,,Tacoma Public Utilities,House,,,,,,"Laminate, Vinyl, Carpet",Tacoma,,No,,Off Street,Main,,,,West,0,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2206891-3111-N-Madison-Street-Tacoma-WA-98407/,0.0872,,,,3,,"SOLD: APR 02, 2024",,,Average,0,,,,,0,,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",Yes,Pierce,"Alley, Dead End Street, Paved",,,47.2762342,-122.4900538
,,No,No,,,4,,No,,,0,,,0 sqft,,No,"$440,000 ",,,,1.5,,2,11 - 1 1/2 Story,,,No,Closed,0,,,,,,,,,,,,0,,1,Single Family Residence,,,,,,Sewer Connected,,1,,,"6827 S JUNETT Street
Tacoma, WA 98409",,,,,,1,"1,300 SQFT",,,,,,,"$440,000 ","1,300 sqft",South Tacoma,1946,Y,47 - South Tacoma,,0,0,,,,0,Square Feet,2025-08-07T21:42:15.522Z,,,1,"6,000 sqft",,,1 / 1 Full / Half Baths,,0,0 sqft,,One and One Half,,,No,,,,,Composition,,,,,,,,,1,,2,,,Sold,,0.14 Acres,,,,,,0,,Public,No,No,,0,1,,1,,House,,,,,,,,,Yes,,Detached Carport,Main,,Cement Planked,,,No,,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2418510-6827-S-Junett-Street-Tacoma-WA-98409/,0.1377,0,,$0 ,2,,"SOLD: AUG 07, 2025",,,Good,0,,,,,0,Poured Concrete,No,0,4 Beds,,,Pierce,,,,47.1946252,-122.4741104
,Corner of S 65th and C St.  Between the 56th St and 72nd St Exits East of I-5.,No,No,See Remarks,,4,,No,Yes,,0,Concrete,,0 sqft,,No,"$390,000 ",,,,2,,0,10 - 1 Story,,,Yes,Closed,0,,,,INVESTOR SPECIAL on DUPLEX!  THE DEMO IS DONE FOR YOU! Rehab started and never finished.  Great opportunity on a 2 bed/1 bath duplex WITH GARAGE on a convenient corner lot in residential neighborhood,INVESTOR SPECIAL on DUPLEX! THE DEMO IS DONE FOR YOU! Rehab started and never finished. Great opportunity on a 2 bed/1 bath duplex WITH GARAGE on a convenient corner lot in residential neighborhood in SE Tacoma. Needs full rehab and has great potential upside! See photos for condition and project scope.,,Garage,,,,,0,No,2,Residential,Fenced-Partially,,,,,Sewer Connected,,2,,Forced Air,"6504 S C Street
Tacoma, WA 98408",0,,,,,2,"1,320 SQFT",,,"$4,851 ",,Bedes Rpt Por Pacific Ave,,"$390,000 ","1,320 sqft",Tacoma,1952,Y,60 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-04-18T11:03:22.523Z,,,2,"8,625 sqft",,0,2 Baths,Electric,0,0 sqft,Closing,One,,,Yes,,,,,Composition,,See Remarks,,,,,,,0,,2,,,Sold,,0.20 Acres,,3,,,,0,,Public,No,No,Level,0,0,,,Tacoma PU,House,,,,,,Concrete,Tacoma,,No,,Attached Garage,Main,,Wood,,,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2336374-6504-S-C-Street-Tacoma-WA-98408/,0.198,0,0,$0 ,4,,"SOLD: MAR 18, 2025",,,Fixer,0,,,2,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Rehab Loan",,Pierce,"Corner Lot, Paved, Sidewalk",,,47.197671,-122.4357137
,Use GPS,No,No,,Unfinished,,,No,,,0,,"1,604 sqft",0 sqft,,Yes,"$207,000 ",,,,1,,0,16 - 1 Story w/Bsmnt.,,,Yes,Closed,0,,,,"Tax assessed value at $336, 000. Tacoma investment opportunity. Boarded-up fixer with significant value-add potential. Sold AS-IS with no repairs by seller. No powerenter with caution. Drive-by and ex","Tax assessed value at $336,000. Tacoma investment opportunity. Boarded-up fixer with significant value-add potential. Sold AS-IS with no repairs by seller. No power—enter with caution. Drive-by and exterior walk-around permitted. Interior access by appointment only. Ideal for investors, rehabbers, or cash buyers seeking their next project. Buyer to verify all information. This is an estate sale, Form 17 is exempt. HOME WILL BE OPEN FOR VIEWING - Tuesday 12/23/25 from 12 - 2pm. Bring your flashlight. Offers Due 12/24/25 by 11am.",,,,,,,0,,0,Single Family Residence,Fenced-Partially,,,,,Sewer Connected,,1,,Other  See Remarks,"1627 Hume Street S
Tacoma, WA 98444",,,,Partially Fenced,,0,"1,604 SQFT",,Perry G Keithley Mid,"$1,908 ",,,,"$207,000 ","1,604 sqft",Tacoma,1962,Y,63 - Parkland,,0,0,,,,0,Square Feet,,,,1,"7,500 sqft",,,1 Baths,Electric,0,,Closing,One,,James Sales Elem,No,,,,,Composition,,,,,,,,,0,,1,,,Sold,,0.17 Acres,Wash High,,,,,0,Other  See Remarks,Public,No,No,Level,0,0,,,Parkland Light & Water,House,,,,,,Hardwood,Franklin Pierce,,No,,Driveway,Main,,Wood,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2461701-1627-Hume-Street-S-Tacoma-WA-98444/,0.1722,0,,$0 ,3,,"SOLD: JAN 09, 2026",,,Fixer,0,,,,,0,,No,0,3 Beds,Cash Out,,Pierce,,,,47.1572492,-122.4568096
,From Hwy 16 head North on Union Ave. Go right at S 19th. Home is on the left. You must park in the alley. Room for several cars there!,Yes,No,"Refrigerators, StovesRanges",Unfinished,3,,No,Yes,,0,,,0 sqft,19th,No,"$455,000 ",,,,1,,1,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Beautifully updated with every important vintage detail intact.  Warm wood floors, period perfect kitchen and gas fireplace welcome you to a simpler time. Interior & exterior have just been painted. E","Beautifully updated with every important vintage detail intact. Warm wood floors, period perfect kitchen and gas fireplace welcome you to a simpler time. Interior & exterior have just been painted. Even the unfinished basement has a fresh coat! Bright & stylish bathroom remodel features fresh subway tile, new vanity & lighting. Both main floor bedrooms are spacious w/backyard views. The second level was just finished w/smart vinyl plank flooring. Use this space for a bedroom, playroom, office, workout space or guests! It's ready for your imagination. The level & fenced backyard creates endless options! Enjoy raised garden beds, room for your pets to roam or maybe a DADU! 2 car garage & parking for 4 more cars. Charming & turnkey!",,Basement,,Wood,,,0,No,2,,"Fenced-Partially, Gas Available, RV Parking, Sprinkler System",Street,,"Ceramic Tile, Hardwood, Sprinkler System, Fireplace, Water Heater",,Sewer Connected,,1,,Forced Air,"3139 S 19th Street
Tacoma, WA 98405",,,,FullyFenced,,2,"1,196 SQFT",,,"$4,202 ",Click here,,,"$455,000 ","2,184 sqft",Central Tacoma,1945,Y,27 - Central Tacoma,,0,0,,No,,0,Square Feet,2024-04-26T16:22:13.551Z,,,1,"6,750 sqft",,,1 Baths,"Electric, Natural Gas",0,0 sqft,Closing,OneAndOneHalf,Residential,,No,,,,,Composition,,"Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Gas,1,,Garden Space,Sold,,0.16 Acres,,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,Gas,,"Ceramic Tile, Hardwood, Vinyl Plank",Tacoma,,No,,"RV Parking, Detached Garage",Main,,,,South,0,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2209927-3139-S-19th-Street-Tacoma-WA-98405/,0.155,1,1,,2,,"SOLD: APR 24, 2024",,,Good,0,,,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",No,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.242999,-122.4784423
,"From WA-16, take exit 2B, and head North on Orchard. In 2.5mi, turn Right on North 39th St. Then left on North Mullen. Home will be on the right.",Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",Partially Finished,3,,No,Yes,,0,,,0 sqft,,Yes,"$639,450 ",,,,2,,3,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Incredible North Tacoma Home! The spacious covered porch invites you to a thoughtfully designed and updated home, made to enjoy 365-days a year, inside and out! The classic foyer leads to the open livi","Incredible North Tacoma Home! The spacious covered porch invites you to a thoughtfully designed and updated home, made to enjoy 365-days a year, inside and out! The classic foyer leads to the open living room and you're sure to love the kitchen w/quartz counters, tons of cabinet space, & tile backsplash! In addition to the 3 upstairs bedrooms, extra finished rooms are found in the partially finished basement. Private gym, game room, or crafting corner, anyone?! Outside, discover the partially covered deck, tree-lined privacy, & RV space! DON'T MISS the 1,064sqft detached shop/garage, New Roof in 2022, and Heat Pump! Just around the corner from Jane Clark Park and centrally located to the Proctor District, Point Ruston, and Point Defiance!",,Basement,,Metal/Vinyl,,,0,No,4,,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, RV Parking, Shop, Sprinkler System",,,"Ceramic Tile, Double Pane/Storm Window, Dining Room, Fireplace, Walk-In Closet(s), Water Heater",,Sewer Connected,TAC,2,,"Forced Air, Heat Pump","3913 N Mullen Street
Tacoma, WA 98407",,,,PartiallyFenced,,4,"2,060 SQFT",,Mason,"$6,543 ",,Home Place,,"$639,450 ","2,324 sqft",North Tacoma,1909,Y,16 - North Tacoma,,0,0,,,,0,Square Feet,2024-12-01T12:03:44.029Z,,,1,7800,,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,OneAndOneHalf,,Sherman,No,Residential,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,"Bay, Partial, Sound, Territorial",,0,Electric,2,,"Fruit Trees, Garden Space",Sold,,0.18 Acres,Silas High School,7,,,,0,"Forced Air, Heat Pump",Public,No,No,"Level, Partial Slope",0,0,,,Tacoma Public Utilities,House,,,,Electric,,"Ceramic Tile, Vinyl Plank",Tacoma,,No,,"Detached Garage, Off Street, RV Parking",Main,,,,West,No,2024,Residential,3,,Tacoma,,120x65,https://www.premierepropertygroup.com/property/21-2282507-3913-N-Mullen-Street-Tacoma-WA-98407/,0.1791,1,1,$0 ,0,,"SOLD: OCT 31, 2024",,,Very Good,0,,Traditional,4,,1,"Concrete Ribbon, Poured Concrete",No,0,3 Beds,"Cash Out, Conventional, FHA, State Bond, VA Loan",,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2852097,-122.5008663
,"From I-5 take HWY 512 exit to HWY 7 Turn L onto Military Road / 152nd St E, R on 18th Ave Ct E to Corner Lot on the Right.",Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,4,,No,Yes,,0,"Bath Off Primary, Fireplace, Fireplace (Primary Bedroom), Laminate, Walk-In Closet(s), Wall to Wall Carpet",,0 sqft,,Yes,"$565,000 ",,,,2.5,,0,14 - Split Entry,,,Yes,Closed,1,,,,"**Seller to consider credit towards closing costs**    Welcome to this spacious non-traditional split-entry home, only 3 steps down to the lower level. Situated on a desirable corner lot in Tacoma. Th","**Seller to consider credit towards closing costs** Welcome to this spacious non-traditional split-entry home, only 3 steps down to the lower level. Situated on a desirable corner lot in Tacoma. This 2,940 sq. ft. home offers 4 bedrooms and 2.5 bathrooms, providing ample space for comfortable living. The main floor boasts a bright living room, dining area, and kitchen, while the lower level features another bedroom and rec room. The large 10,300 sq. ft. lot provides a great outdoor space with plenty of potential. Professionally Cleaned and Freshly Painted. Conveniently located near JBLM, major highways, and shopping centers. Don't miss out on this fantastic opportunity!",,,,,,,0,No,2,Residential,"Deck, Fenced-Fully, RV Parking",,,,,Sewer Connected,,2,,"Ductless HP-Mini Split, Other  See Remarks","15202 18th Avenue Ct E
Tacoma, WA 98445",1,,,,,2,"2,940 SQFT",,,"$6,015 ",,,,"$565,000 ","2,940 sqft",Brookdale,1976,Y,68 - Parkland,,1,0,,,,0,Square Feet,2025-04-21T11:03:26.447Z,,,2,"10,300 sqft",,1,2 / 1 Full / Half Baths,Electric,0,0 sqft,Closing,Multi/Split,,,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,3,,,Sold,,0.24 Acres,,,,,,0,Ductless HP-Mini Split,Public,No,No,,0,1,,,Spanaway Water Company,House,,,,"Electric, Wood Burning",,"Laminate, Vinyl Plank, Carpet",Bethel,,No,,"Driveway, Attached Garage, Off Street, RV Parking",,,"Brick, Wood Products",,,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2330067-15202-18th-Avenue-Ct-E-Tacoma-WA-98445/,0.2365,2,,$0 ,3,,"SOLD: MAR 21, 2025",,,,0,,,2,,0,,No,0,4 Beds,"Conventional, FHA, VA Loan",,Pierce,"Corner Lot, Paved",,,47.1184638,-122.403741
